sede,distrito,nivel_establecimiento,consultorios_ambulatorios,anio_apertura,horas_medico_semana
CAP San Juan de Lurigancho,San Juan de Lurigancho,I-4,22,2009,980
CAP Comas,Comas,I-4,18,2011,810
CAP Villa El Salvador,Villa El Salvador,I-3,14,2014,640
CAP Ate,Ate,I-4,19,2010,850
CAP San Martin de Porres,San Martín de Porres,I-3,15,2013,690
CAP Callao,Callao,II-1,26,2006,1180
CAP Los Olivos,Los Olivos,I-4,17,2012,760
CAP Chorrillos,Chorrillos,I-3,13,2015,590
CAP Santa Anita,Santa Anita,I-3,12,2016,545
CAP Puente Piedra,Puente Piedra,I-3,11,2017,500
CAP Independencia,Independencia,I-4,16,2012,720
CAP El Agustino,El Agustino,I-3,12,2015,540
CAP Surquillo,Surquillo,II-1,24,2008,1060
CAP Lince,Lince,I-4,15,2011,670
