fecha,tipo_cambio_venta
2025-09-01,3.7175
2025-09-02,3.7241
2025-09-03,3.7281
2025-09-04,3.7257
2025-09-05,3.7261
2025-09-08,3.7288
2025-09-09,3.7274
2025-09-10,3.7248
2025-09-11,3.7222
2025-09-12,3.7176
2025-09-15,3.7272
2025-09-16,3.7305
2025-09-17,3.7364
2025-09-18,3.7335
2025-09-19,3.7419
2025-09-22,3.7466
2025-09-23,3.7419
2025-09-24,3.7457
2025-09-25,3.7406
2025-09-26,3.7337
2025-09-29,3.7396
2025-09-30,3.7297
2025-10-01,3.7234
2025-10-02,3.7183
2025-10-03,3.7217
2025-10-06,3.733
2025-10-07,3.7355
2025-10-08,3.744
2025-10-09,3.7433
2025-10-10,3.737
2025-10-13,3.7296
2025-10-14,3.7216
2025-10-15,3.7317
2025-10-16,3.7317
2025-10-17,3.7287
2025-10-20,3.7192
2025-10-21,3.7157
2025-10-22,3.7085
2025-10-23,3.7094
2025-10-24,3.7179
2025-10-27,3.7199
2025-10-28,3.7296
2025-10-29,3.7377
2025-10-30,3.7332
2025-10-31,3.7295
2025-11-03,3.726
2025-11-04,3.7283
2025-11-05,3.7302
2025-11-06,3.7391
2025-11-07,3.7365
2025-11-10,3.7336
2025-11-11,3.7231
2025-11-12,3.7275
2025-11-13,3.7173
2025-11-14,3.7197
2025-11-17,3.7235
2025-11-18,3.7321
2025-11-19,3.7176
2025-11-20,3.7212
2025-11-21,3.7139
2025-11-24,3.7143
2025-11-25,3.7011
2025-11-26,3.6963
2025-11-27,3.6911
2025-11-28,3.6816
2025-12-01,3.6768
2025-12-02,3.6742
2025-12-03,3.6835
2025-12-04,3.6744
2025-12-05,3.6818
2025-12-08,3.6911
2025-12-09,3.6999
2025-12-10,3.6992
2025-12-11,3.7023
2025-12-12,3.7014
2025-12-15,3.7067
2025-12-16,3.7136
2025-12-17,3.7164
2025-12-18,3.7189
2025-12-19,3.7154
2025-12-22,3.718
2025-12-23,3.7118
2025-12-24,3.7024
2025-12-25,3.7054
2025-12-26,3.7063
2025-12-29,3.7016
2025-12-30,3.6995
2025-12-31,3.7007
2026-01-01,3.7058
2026-01-02,3.7003
2026-01-05,3.6957
2026-01-06,3.692
2026-01-07,3.685
2026-01-08,3.6926
2026-01-09,3.6991
2026-01-12,3.7009
2026-01-13,3.7173
2026-01-14,3.7168
2026-01-15,3.7081
2026-01-16,3.7114
2026-01-19,3.7084
2026-01-20,3.71
2026-01-21,3.7127
2026-01-22,3.7044
2026-01-23,3.7085
2026-01-26,3.7113
2026-01-27,3.7091
2026-01-28,3.7056
2026-01-29,3.7031
2026-01-30,3.7035
2026-02-02,3.6971
2026-02-03,3.6872
2026-02-04,3.6933
2026-02-05,3.7037
2026-02-06,3.7094
2026-02-09,3.7117
2026-02-10,3.7082
2026-02-11,3.708
2026-02-12,3.7005
2026-02-13,3.7031
2026-02-16,3.6929
2026-02-17,3.6971
2026-02-18,3.699
2026-02-19,3.6978
2026-02-20,3.6956
2026-02-23,3.6956
2026-02-24,3.7056
2026-02-25,3.7057
2026-02-26,3.7051
2026-02-27,3.7024
2026-03-02,3.708
2026-03-03,3.7043
2026-03-04,3.6939
2026-03-05,3.7058
2026-03-06,3.706
2026-03-09,3.7038
2026-03-10,3.7055
2026-03-11,3.715
2026-03-12,3.7235
2026-03-13,3.7123
