id_producto,nombre_producto,categoria,requiere_receta,precio_lista
1000,HIGI-0001,Higiene personal,N,32.14
1001,CUID-0002,Cuidado infantil,S,28.26
1002,ANAL-0003,Analgésicos,N,16.34
1003,GENÉ-0004,Genéricos,N,15.21
1004,GENÉ-0005,Genéricos,S,11.36
1005,GENÉ-0006,Genéricos,S,13.36
1006,ANTI-0007,Antigripales,N,26.3
1007,VITA-0008,Vitaminas,N,77.12
1008,ANAL-0009,Analgésicos,N,20.85
1009,CUID-0010,Cuidado infantil,N,66.32
1010,GENÉ-0011,Genéricos,S,17.45
1011,DERM-0012,Dermatológicos,N,55.59
1012,ANAL-0013,Analgésicos,S,22.63
1013,GENÉ-0014,Genéricos,N,16.01
1014,DERM-0015,Dermatológicos,S,72.18
1015,ANAL-0016,Analgésicos,S,17.94
1016,ANAL-0017,Analgésicos,N,14.83
1017,VITA-0018,Vitaminas,N,86.56
1018,VITA-0019,Vitaminas,N,74.86
1019,GENÉ-0020,Genéricos,N,17.69
1020,ANAL-0021,Analgésicos,N,22.16
1021,HIGI-0022,Higiene personal,N,21.2
1022,ANAL-0023,Analgésicos,S,15.1
1023,HIGI-0024,Higiene personal,S,23.57
1024,HIGI-0025,Higiene personal,N,25.69
1025,HIGI-0026,Higiene personal,N,10.27
1026,GENÉ-0027,Genéricos,N,3.0
1027,ANAL-0028,Analgésicos,S,10.98
1028,DERM-0029,Dermatológicos,S,42.69
1029,ANTI-0030,Antigripales,N,14.11
1030,CUID-0031,Cuidado infantil,N,66.82
1031,CUID-0032,Cuidado infantil,N,70.17
1032,CUID-0033,Cuidado infantil,N,39.54
1033,GENÉ-0034,Genéricos,N,11.55
1034,ANTI-0035,Antigripales,N,11.8
1035,HIGI-0036,Higiene personal,N,25.43
1036,ANAL-0037,Analgésicos,S,24.98
1037,HIGI-0038,Higiene personal,N,17.88
1038,DERM-0039,Dermatológicos,S,77.01
1039,ANTI-0040,Antigripales,N,24.94
1040,HIGI-0041,Higiene personal,N,37.4
1041,GENÉ-0042,Genéricos,S,3.91
1042,ANTI-0043,Antigripales,N,10.57
1043,VITA-0044,Vitaminas,N,30.3
1044,ANTI-0045,Antigripales,N,29.57
1045,VITA-0046,Vitaminas,N,116.35
1046,GENÉ-0047,Genéricos,N,6.58
1047,HIGI-0048,Higiene personal,N,31.47
1048,GENÉ-0049,Genéricos,N,2.87
1049,GENÉ-0050,Genéricos,N,7.64
1050,CUID-0051,Cuidado infantil,N,45.07
1051,ANAL-0052,Analgésicos,N,21.61
1052,ANTI-0053,Antigripales,S,33.64
1053,HIGI-0054,Higiene personal,N,35.84
1054,GENÉ-0055,Genéricos,S,8.03
1055,VITA-0056,Vitaminas,N,93.53
1056,GENÉ-0057,Genéricos,N,7.39
1057,ANTI-0058,Antigripales,N,41.62
1058,CUID-0059,Cuidado infantil,N,30.8
1059,DERM-0060,Dermatológicos,N,50.13
1060,ANTI-0061,Antigripales,N,12.25
1061,ANTI-0062,Antigripales,S,30.06
1062,GENÉ-0063,Genéricos,N,16.8
1063,HIGI-0064,Higiene personal,N,31.17
1064,HIGI-0065,Higiene personal,N,22.35
1065,ANAL-0066,Analgésicos,N,21.16
