id_venta,fecha,id_local,id_producto,cantidad,importe,canal,medio_pago
77288,2025-12-10,77,1203,2,30.06,Presencial,Billetera
129421,2025-09-09,84,1296,6,106.15,Delivery,Efectivo
196899,2025-10-26,74,1220,2,47.45,Presencial,Billetera
16250,2026-03-12,61,1092,3,229.10,Presencial,Tarjeta
23062,2026-02-01,73,1399,3,23.73,Presencial,Efectivo
145756,2026-05-05,109,1325,2,30.25,Delivery,Efectivo
118817,2026-05-26,27,1641,5,109.37,Web,Tarjeta
69528,2025-09-22,116,1023,4,91.73,Delivery,Billetera
192720,2026-05-19,42,1203,1,15.61,Presencial,Tarjeta
81699,2026-03-14,71,1268,3,24.84,Presencial,Tarjeta
158361,2026-08-06,48,1224,3,28.17,Web,Tarjeta
177661,2026-02-10,80,1111,4,104.82,Web,Efectivo
157085,2026-05-18,104,1281,3,106.27,Web,Tarjeta
113460,2026-03-28,8,1269,4,23.91,Delivery,Efectivo
6543,2026-05-03,55,1125,5,73.87,Presencial,Tarjeta
188471,2026-05-23,99,1363,6,283.28,Presencial,Billetera
195282,2026-03-02,94,1216,2,17.14,Presencial,Efectivo
135920,2026-01-04,85,1403,1,16.49,Delivery,Tarjeta
165398,2026-08-08,46,1467,6,410.46,Presencial,Efectivo
50988,2026-05-13,119,1485,4,159.85,Presencial,Efectivo
9878,2026-07-27,65,1189,5,,Delivery,Efectivo
89305,2025-11-22,49,1324,5,66.41,Presencial,Tarjeta
46136,2026-05-10,72,1019,3,48.21,Presencial,Tarjeta
10849,2026-01-22,74,1280,3,171.28,Delivery,Efectivo
25946,2026-07-23,77,1010,6,94.72,Presencial,Efectivo
185385,2025-11-21,72,1770,6,59.94,Delivery,Tarjeta
182174,2025-10-08,58,1574,6,554.83,Presencial,Billetera
169218,2026-04-23,86,1551,5,120.07,Delivery,Efectivo
146116,2025-10-17,15,1226,6,44.91,Delivery,Tarjeta
178949,2026-08-08,74,1169,1,79.71,Delivery,Efectivo
104310,2025-12-17,14,1126,1,14.63,Delivery,Efectivo
155030,2025-11-09,102,1336,4,117.42,Web,Efectivo
56372,2026-05-21,94,1159,5,102.96,Presencial,Efectivo
50992,2026-06-30,98,1620,8,291.37,Presencial,Billetera
135560,2025-11-16,120,1064,3,64.16,Presencial,Tarjeta
122793,2025-10-04,56,1385,6,,Presencial,Tarjeta
199424,2026-08-06,45,1746,1,3.73,Presencial,Efectivo
55226,2026-01-27,69,1239,2,39.72,Presencial,Efectivo
124173,2026-08-18,107,1390,3,32.11,Delivery,Tarjeta
82659,2026-08-27,49,1306,6,113.28,Presencial,Efectivo
132974,2026-08-05,62,1617,6,61.95,Presencial,Efectivo
33717,2025-10-29,25,1725,4,465.84,Presencial,Billetera
74701,2025-11-07,18,1609,1,32.59,Presencial,Efectivo
115244,2026-06-02,37,1790,5,92.00,Presencial,Efectivo
83257,2026-05-30,41,1089,5,70.61,Presencial,Efectivo
180734,2026-06-21,111,1699,5,321.64,Presencial,Efectivo
96054,2026-06-03,82,1596,2,61.60,Presencial,Billetera
83854,2026-04-14,44,1438,5,91.84,Presencial,Efectivo
182933,2026-05-16,36,1501,6,51.14,Presencial,Efectivo
161800,2026-01-13,108,1642,3,38.15,Presencial,Efectivo
199995,2026-02-14,62,1032,4,151.21,Presencial,Tarjeta
54020,2025-11-16,108,1389,4,39.44,Presencial,Billetera
110707,2026-02-24,82,1155,2,103.02,Presencial,Tarjeta
180931,2026-02-26,61,1609,4,136.69,Presencial,Efectivo
106440,2026-01-26,58,1452,6,289.60,Presencial,Billetera
147480,2026-06-06,17,1696,4,53.96,Presencial,Efectivo
62992,2025-11-13,32,1716,6,333.20,Presencial,Tarjeta
11884,2025-11-08,37,1594,3,14.78,Presencial,Billetera
117601,2026-02-05,39,1609,1,34.90,Presencial,Efectivo
93824,2025-11-26,55,1694,2,37.50,Presencial,Efectivo
14189,2026-04-29,22,1024,3,71.52,Presencial,Efectivo
71590,2026-02-15,119,1663,2,41.49,Presencial,Efectivo
85571,2026-06-10,3,1558,4,234.02,Web,Tarjeta
79670,2026-08-30,85,1426,3,35.90,Presencial,Tarjeta
65213,2026-06-03,38,1508,1,67.41,Presencial,Efectivo
3597,2026-03-30,14,1205,4,33.81, Presencial ,Tarjeta
27654,2026-07-10,30,1616,3,50.95,Presencial,Tarjeta
140495,2025-09-17,3,1686,3,8.12,Web,Efectivo
28106,2026-07-21,22,1566,1,91.19,Presencial,Efectivo
20467,2026-01-06,70,1087,1,9.56,Presencial,Efectivo
4678,2026-05-26,45,1702,2,19.41,Presencial,Tarjeta
137444,2025-11-27,22,1348,4,34.88,Presencial,Tarjeta
145393,2026-07-15,17,1607,4,46.04,Presencial,Tarjeta
145332,2026-08-09,26,1534,5,44.15,Delivery,Billetera
77980,2025-11-29,44,1684,1,81.98,Presencial,Tarjeta
60694,2026-04-15,103,9599,1,32.39,Web,Tarjeta
91997,2026-04-23,45,1503,2,13.93,Presencial,Tarjeta
70673,2026-03-30,40,1468,3,78.16,Delivery,Tarjeta
62668,2026-08-10,106,1557,3,39.58,Presencial,Efectivo
84468,2026-02-08,5,1526,4,36.34,Presencial,Tarjeta
119548,2025-10-31,16,1689,6,181.53,Presencial,Efectivo
38990,2025-10-25,49,1466,4,164.09,Presencial,Billetera
162190,2026-04-17,109,1784,6,31.63,Presencial,Efectivo
71851,2025-11-27,108,1405,6,71.41,Web,Tarjeta
152490,2026-05-14,83,1029,4,52.74,Presencial,Billetera
70125,2026-07-15,38,1484,1,8.60,Web,Billetera
108538,2026-05-13,38,1195,3,134.05,Presencial,Tarjeta
157895,2025-12-29,115,1597,6,248.37,Presencial,Tarjeta
20928,2026-08-13,73,1010,3,51.81,Presencial,Tarjeta
13780,2026-02-27,97,1337,5,557.17,Delivery,Tarjeta
85195,2026-03-22,3,1762,4,43.56,Presencial,Billetera
120545,2026-02-28,62,1682,4,81.02,Delivery,Tarjeta
12501,2025-09-22,80,1507,4,45.22,Presencial,Efectivo
67964,2026-07-17,54,1010,3,48.43,Presencial,Billetera
74541,2026-06-09,58,1795,6,220.13,Presencial,Efectivo
55818,2026-07-03,75,1012,2,42.46,Presencial,Tarjeta
79133,2026-08-30,59,1742,2,72.88,Presencial,Tarjeta
135961,2026-03-01,26,1615,-3,-280.17,Presencial,Billetera
171488,2026-08-10,48,1413,1,13.11,Presencial,Tarjeta
131434,2025-10-26,39,1762,6,66.09,Web,Efectivo
50462,2025-10-04,94,1689,5,149.95,Presencial,Tarjeta
127402,2026-04-24,119,1061,3,89.70,Web,Billetera
110081,2025-12-24,38,1788,2,24.09,Delivery,Tarjeta
28363,2026-01-06,117,1623,2,132.13,Presencial,Tarjeta
188369,2026-06-08,77,1595,5,97.03,Presencial,Tarjeta
192314,2025-12-04,72,1652,3,80.35,Presencial,Tarjeta
163902,2026-08-25,17,1563,2,15.73,Presencial,Efectivo
60355,2025-10-27,20,1566,2,177.84,Presencial,Tarjeta
53760,2025-11-15,105,1737,4,60.76,Presencial,Billetera
46063,2026-01-14,100,1291,3,34.07,Web,Efectivo
31560,2026-07-05,79,1641,2,42.14,Delivery,Tarjeta
59557,2026-02-18,39,1694,6,112.90,Presencial,Efectivo
130775,2026-03-07,48,1312,3,22.20,Presencial,Tarjeta
72291,2025-10-02,16,1647,3,50.06,Presencial,Efectivo
185038,2025-10-08,99,1604,5,284.86,Presencial,Efectivo
16900,2026-06-05,116,1577,4,121.86,Presencial,Billetera
100865,2026-05-16,54,1506,6,222.95,Delivery,Tarjeta
34862,2026-08-06,76,1033,5,55.42,Presencial,Efectivo
20373,2026-05-09,89,1436,5,138.26,Presencial,Efectivo
191963,2026-01-15,20,1244,5,210.79,Delivery,Efectivo
28047,2025-12-23,73,1440,3,144.34,Delivery,Efectivo
176358,2025-11-13,48,1427,1,35.73,Delivery,Tarjeta
75914,2026-01-17,74,1080,5,72.92,Presencial,Tarjeta
88097,2026-08-01,43,1519,3,258.29,Web,Efectivo
