usuario_id,fecha,variante,dispositivo,gasto_previo_30d,convirtio,monto_compra
U100000,2026-08-11,A,Android,46.06,0,
U100001,2026-08-05,A,Desktop,74.71,1,90.12
U100002,2026-08-09,A,Desktop,73.41,0,
U100003,2026-08-13,B,Android,61.23,0,
U100004,2026-08-17,B,Android,82.15,0,
U100005,2026-08-05,A,Desktop,51.04,0,
U100006,2026-08-04,A,Desktop,128.78,0,
U100007,2026-08-18,A,Android,23.78,0,
U100008,2026-08-23,A,Desktop,238.41,0,
U100009,2026-08-05,A,Android,125.04,0,
U100010,2026-08-12,B,Desktop,133.36,0,
U100011,2026-08-06,B,Desktop,78.73,1,73.92
U100012,2026-08-23,B,iOS,146.96,0,
U100013,2026-08-18,A,iOS,113.75,0,
U100014,2026-08-11,B,Android,25.36,0,
U100015,2026-08-16,B,Android,197.3,0,
U100016,2026-08-03,A,iOS,39.84,0,
U100017,2026-08-09,B,Android,52.15,0,
U100018,2026-08-16,A,Desktop,64.0,0,
U100019,2026-08-21,A,Android,219.47,0,
U100020,2026-08-17,A,Android,436.35,0,
U100021,2026-08-14,B,Desktop,48.86,0,
U100022,2026-08-08,A,iOS,89.67,1,120.9
U100023,2026-08-03,A,Desktop,137.57,0,
U100024,2026-08-09,A,iOS,116.55,0,
U100025,2026-08-14,A,Android,190.66,0,
U100026,2026-08-06,B,Android,129.47,0,
U100027,2026-08-05,A,Android,81.06,0,
U100028,2026-08-04,A,iOS,52.06,0,
U100029,2026-08-19,B,Android,162.35,0,
U100030,2026-08-20,A,Android,112.9,1,87.76
U100031,2026-08-09,B,Android,60.86,0,
U100032,2026-08-23,B,Desktop,176.89,0,
U100033,2026-08-07,B,iOS,102.73,0,
U100034,2026-08-14,A,iOS,75.97,0,
U100035,2026-08-13,A,Desktop,54.2,0,
U100036,2026-08-21,B,Android,117.52,0,
U100037,2026-08-18,B,Android,94.57,0,
U100038,2026-08-11,B,Desktop,35.91,0,
U100039,2026-08-19,A,Android,372.14,0,
U100040,2026-08-07,A,iOS,86.42,0,
U100041,2026-08-14,B,Android,130.74,0,
U100042,2026-08-23,A,Desktop,22.61,0,
U100043,2026-08-07,A,Android,35.71,0,
U100044,2026-08-10,B,Android,188.25,0,
U100045,2026-08-22,A,Desktop,80.68,0,
U100046,2026-08-15,B,Android,76.67,0,
U100047,2026-08-17,B,Desktop,213.96,0,
U100048,2026-08-20,B,Desktop,56.83,0,
U100049,2026-08-19,B,iOS,285.65,0,
