region,canal,metodo_pago,ticket,dias_entrega,satisfaccion
Lima,App,Tarjeta,108.81,2.0,5.0
Norte,App,Tarjeta,67.15,4.0,5.0
Norte,App,Tarjeta,100.35,7.0,3.0
Lima,Web,Billetera digital,92.36,3.0,4.0
Lima,Web,Tarjeta,18.87,1.0,5.0
Sur,App,Tarjeta,328.98,3.0,3.0
Centro,Web,Tarjeta,132.15,3.0,5.0
Lima,App,Tarjeta,364.72,2.0,5.0
Sur,Web,Contra entrega,134.71,3.0,5.0
Lima,App,Tarjeta,267.42,3.0,3.0
Oriente,Web,Billetera digital,116.72,3.0,4.0
Centro,App,Billetera digital,192.83,4.0,4.0
Norte,Web,Billetera digital,138.15,4.0,3.0
Sur,Web,Contra entrega,239.61,1.0,5.0
Norte,App,Contra entrega,183.33,5.0,3.0
Centro,App,Billetera digital,175.09,5.0,4.0
Lima,Web,Tarjeta,95.85,2.0,5.0
Lima,App,Billetera digital,153.43,2.0,3.0
Lima,Web,Billetera digital,69.39,1.0,4.0
Lima,App,Contra entrega,136.19,1.0,4.0
Norte,App,Contra entrega,34.28,4.0,5.0
Lima,App,Billetera digital,148.24,3.0,3.0
Sur,App,Billetera digital,109.78,2.0,5.0
Lima,App,Tarjeta,174.71,4.0,4.0
Lima,App,Billetera digital,280.63,3.0,4.0
Lima,App,Billetera digital,138.96,2.0,4.0
Lima,App,Billetera digital,214.19,1.0,5.0
Norte,Web,Tarjeta,42.31,3.0,4.0
Lima,App,Billetera digital,386.95,1.0,5.0
Lima,Web,Tarjeta,126.39,2.0,4.0
Lima,Web,Billetera digital,102.43,2.0,5.0
Centro,Web,Tarjeta,125.76,6.0,4.0
Sur,App,Billetera digital,56.26,3.0,
Norte,App,Billetera digital,119.86,4.0,4.0
Lima,App,Tarjeta,242.16,1.0,5.0
Oriente,Web,Billetera digital,108.27,6.0,4.0
Norte,App,Contra entrega,268.54,5.0,3.0
Lima,App,Tarjeta,175.21,2.0,4.0
Centro,Web,Billetera digital,176.97,3.0,4.0
