transaccion_id,tipo_operacion,version_api,datacenter,hora,franja,latencia_ms,error,satisfaccion
T500000,Recarga celular,v1,Lima,2,Normal,175.7,0,5.0
T500001,Consulta de saldo,v1,Lima,9,Pico,428.7,0,4.0
T500002,Transferencia,v2,Arequipa,17,Normal,583.3,0,1.0
T500003,Pago QR,v1,Arequipa,15,Normal,204.7,0,4.0
T500004,Pago de servicios,v2,Lima,22,Normal,450.1,0,4.0
T500005,Pago QR,v2,Arequipa,15,Normal,223.8,0,4.0
T500006,Consulta de saldo,v1,Lima,9,Pico,140.5,0,4.0
T500007,Pago QR,v1,Lima,10,Pico,203.8,0,5.0
T500008,Transferencia,v1,Lima,18,Pico,91.3,0,4.0
T500009,Recarga celular,v2,Arequipa,14,Normal,158.0,0,4.0
T500010,Pago QR,v1,Arequipa,3,Normal,166.6,0,4.0
T500011,Pago de servicios,v2,Trujillo,20,Pico,778.8,0,4.0
T500012,Transferencia,v2,Lima,7,Normal,165.4,0,5.0
T500013,Pago de servicios,v2,Lima,0,Normal,107.1,0,5.0
T500014,Transferencia,v1,Lima,20,Pico,249.9,0,5.0
T500015,Pago de servicios,v1,Arequipa,13,Normal,361.0,0,3.0
T500016,Transferencia,v2,Lima,18,Pico,430.8,0,4.0
T500017,Pago QR,v1,Lima,14,Normal,411.1,0,4.0
T500018,Pago QR,v1,Trujillo,18,Pico,529.5,0,4.0
T500019,Pago QR,v1,Lima,8,Pico,253.5,0,4.0
T500020,Pago QR,v2,Arequipa,23,Normal,191.7,0,5.0
T500021,Recarga celular,v1,Lima,9,Pico,173.3,0,5.0
T500022,Pago QR,v1,Lima,5,Normal,248.5,0,4.0
T500023,Consulta de saldo,v1,Trujillo,3,Normal,50.4,0,5.0
T500024,Pago QR,v1,Lima,16,Normal,140.1,0,5.0
T500025,Transferencia,v1,Trujillo,16,Normal,311.5,0,4.0
T500026,Consulta de saldo,v2,Arequipa,11,Normal,142.3,0,5.0
T500027,Pago QR,v1,Trujillo,1,Normal,200.1,0,5.0
T500028,Consulta de saldo,v1,Lima,12,Normal,198.0,0,5.0
T500029,Recarga celular,v1,Arequipa,6,Normal,168.9,0,5.0
T500030,Recarga celular,v1,Lima,12,Normal,86.6,0,5.0
T500031,Transferencia,v2,Trujillo,21,Pico,621.7,0,3.0
T500032,Pago QR,v1,Lima,14,Normal,139.3,0,5.0
T500033,Transferencia,v2,Lima,12,Normal,184.1,0,4.0
T500034,Transferencia,v1,Lima,12,Normal,388.4,0,4.0
T500035,Recarga celular,v1,Trujillo,7,Normal,202.4,0,4.0
T500036,Pago QR,v1,Trujillo,7,Normal,129.5,0,
T500037,Pago QR,v1,Arequipa,2,Normal,140.5,0,5.0
T500038,Transferencia,v2,Trujillo,7,Normal,246.5,0,4.0
T500039,Transferencia,v1,Lima,4,Normal,277.1,0,3.0
T500040,Transferencia,v2,Arequipa,13,Normal,274.9,0,4.0
